0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,       PRICES
,,,,,,,,,,,,
Table 1: Construction Material Price Indices,,,,,,,,,,,,
,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,2015=100
,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,
,,,,,,,,,,,,
(a)  New Housing,,,,,,,,,,,,
,,,,,,,,,,,,
          January,100.5,,98.5,,102.8,,107.7,,111.7,,110.9,
          February,100.6,,99.1,,103.9,,109.3,,112.4,,111.4,
          March,100.6,,98.9,,104.3,,109.3,,113.4,,111.7,
          April,100.6,,99.4,,104.8,,109.7,,113.1,,111.7,
          May,100.9,,99.8,,105.2,,110.1,,112.8,,112.5,
          June,100.5,,100.3,,105.3,,110.5,,113.3,,111.9,
          July,100.2,,100.2,,105.4,,111.0,,113.3,,112.2,
          August,99.8,,100.8,,105.6,,111.1,,112.8,,112.3,
          September,99.4,,101.4,,106.4,,111.6,,112.5,,112.9,
          October,99.1,,101.3,,106.9,,111.3,,112.8,,114.9,p
          November,99.2,,102.1,,107.1,,111.7,,112.0,,115.6,p
          December,98.8,,102.0,,108.1,,111.8,,111.5,,117.0,p
,,,,,,,,,,,,
          Annual Average,100.01666666666665,,100.31666666666666,,105.4833333333333,,110.42500000000001,,112.63333333333333,,112.91666666666667,p
,,,,,,,,,,,,
(b)  Other New Work,,,,,,,,,,,,
,,,,,,,,,,,,
          January,101.4,,97.0,,102.4,,107.0,,111.8,,110.6,
          February,101.1,,97.4,,103.0,,107.5,,113.0,,110.7,
          March,101.5,,97.9,,103.4,,108.4,,113.4,,111.1,
          April,101.1,,98.0,,103.5,,108.5,,113.1,,112.4,
          May,101.0,,99.0,,103.5,,109.1,,113.3,,112.8,
          June,100.7,,99.5,,103.5,,109.6,,112.0,,111.5,
          July,100.5,,99.3,,103.5,,109.7,,112.4,,111.4,
          August,99.5,,99.1,,103.6,,110.0,,111.7,,111.5,
          September,99.1,,99.5,,104.6,,110.8,,112.2,,111.4,
          October,98.5,,99.5,,105.7,,111.0,,111.7,,113.4,p
          November,97.7,,100.6,,106.5,,111.0,,110.2,,113.7,p
          December,97.8,,101.3,,106.8,,110.8,,109.4,,114.5,p
,,,,,,,,,,,,
          Annual Average,99.99166666666667,,99.00833333333333,,104.16666666666667,,109.44999999999999,,112.0166666666667,,112.08333333333333,p
,,,,,,,,,,,,
(c)  Repair and Maintenance,,,,,,,,,,,,
,,,,,,,,,,,,
          January,101.3,,98.0,,103.0,,108.0,,113.0,,111.3,
          February,100.9,,98.1,,104.2,,109.4,,113.5,,111.7,
          March,100.8,,98.1,,104.5,,109.6,,114.2,,111.7,
          April,100.6,,98.6,,104.9,,110.2,,114.3,,111.7,
          May,100.8,,99.2,,105.4,,110.6,,114.0,,112.2,
          June,100.5,,99.8,,105.4,,111.5,,114.2,,111.8,
          July,100.2,,99.9,,105.5,,112.0,,114.0,,112.0,
          August,99.7,,100.6,,105.8,,112.3,,113.7,,112.3,
          September,99.1,,101.2,,106.5,,112.9,,113.4,,112.9,
          October,98.9,,101.1,,107.0,,112.9,,113.4,,114.8,p
          November,98.9,,101.9,,107.5,,113.3,,112.6,,115.9,p
          December,98.3,,101.9,,108.2,,113.3,,111.8,,117.3,p
,,,,,,,,,,,,
          Annual Average,100.00000000000001,,99.86666666666667,,105.65833333333332,,111.33333333333331,,113.50833333333334,,112.96666666666665,p
,,,,,,,,,,,,
(d)  All Work,,,,,,,,,,,,
,,,,,,,,,,,,
          January,101.2,,97.4,,102.6,,107.1,,111.8,,110.7,
          February,101.0,,97.7,,103.3,,108.0,,112.6,,111.0,
          March,101.3,,98.1,,103.6,,108.5,,113.1,,111.2,
          April,100.7,,98.3,,103.9,,108.7,,112.9,,113.5,
          May,100.9,,99.2,,104.0,,109.3,,112.9,,113.9,
          June,100.6,,99.5,,103.9,,109.7,,112.3,,111.8,
          July,100.6,,99.6,,104.1,,110.1,,112.7,,111.6,
          August,99.8,,99.8,,104.4,,110.4,,112.2,,111.6,
          September,99.1,,100.2,,105.1,,111.0,,112.3,,111.6,
          October,98.7,,100.2,,106.0,,111.0,,111.9,,113.7,p
          November,98.3,,101.1,,106.3,,111.1,,110.8,,114.2,p
          December,98.1,,101.5,,107.0,,111.2,,110.1,,115.2,p
,,,,,,,,,,,,
          Annual Average,100.02499999999999,,99.38333333333334,,104.51666666666667,,109.67500000000001,,112.13333333333333,,112.5,p
,,,,,,,,,,,,
,,,,,,,,,,,,
Notes: 1. These indices are weighted averages of Producer Price Indices. They do not include ,,,,,,,,,,,,Source ONS/BEIS
electrical or mechanical engineering materials.,,,,,,,,,,,,
2. All series have been rebased to 2015 = 100 for the November 2020 release of this publication (published 4th December 2020).,,,,,,,,,,,,
,,,,,,,,,,,,1
